FISCAL_YEAR,FISCAL_YEAR_ENDED,AUDIT_FEES,TOTAL_FEES,AUDITOR_NAME,COMPANY_FKEY,BEST_EDGAR_TICKER
2016,31-Dec-16,28000000,28600000,Deloitte & Touche LLP,12927,BA
2016,31-Dec-16,2056330,3892160,KPMG LLP,16868,CNI
2016,31-Dec-16,33300000,35100000,PricewaterhouseCoopers LLP,18230,CAT
2016,31-Dec-16,64000000,92300000,PricewaterhouseCoopers LLP,19617,JPM
2016,31-Dec-16,1405000,1659000,KPMG LLP,31978,EE
2016,31-Dec-16,37400000,46000000,PricewaterhouseCoopers LLP,37996,F
2016,31-Dec-16,811900,893926,Deloitte & Touche LLP,39677,AVHI
2016,31-Dec-16,2747000,2927500,Ernst & Young LLP,40211,GATX
2016,31-Dec-16,2275600,2378800,KPMG LLP,54480,KSU
2016,31-Dec-16,75700000,91700000,PricewaterhouseCoopers LLP,70858,BAC
2016,31-Dec-16,41082000,52547000,KPMG LLP,72971,WFC
2016,31-Dec-16,2661960,3398540,Deloitte & Touche LLP,100885,UNP
2016,31-Dec-16,5200000,5474300,Ernst & Young LLP,105634,EME
2016,31-Dec-16,19300000,41500000,PricewaterhouseCoopers LLP,108772,XRX
2016,30-Dec-16,2740000,3094000,Ernst & Young LLP,277948,CSX
2016,31-Oct-16,15293000,16018000,Deloitte & Touche LLP,315189,DE
2016,29-Jun-16,871600,1218600,KPMG LLP,703351,EAT
2016,31-May-16,1292000,1788000,PricewaterhouseCoopers LLP,723531,PAYX
2016,31-Dec-16,6460000,6798000,KPMG LLP,880266,AGCO
2016,31-Dec-16,7596000,10557000,Ernst & Young LLP,882095,GILD
2016,31-Aug-16,2613140,3949630,KPMG LLP,923120,GBX
2016,30-Jan-16,3455660,3493480,PricewaterhouseCoopers LLP,1018840,ANF
2016,3-Jul-16,860000,1020430,BDO USA LLP,1084869,FLWS
2016,31-Mar-16,39883200,48249800,PricewaterhouseCoopers LLP,1094517,TM
2016,31-Dec-16,1576000,1786000,PricewaterhouseCoopers LLP,1303652,DATA
2016,31-Dec-16,8436000,8469000,PricewaterhouseCoopers LLP,1318605,TSLA
2016,31-Jul-16,3039550,3856150,Ernst & Young LLP,1327567,PANW
2016,31-Jan-16,2560700,3917640,Ernst & Young LLP,1327811,WDAY
2016,31-Jan-16,1946210,2607200,PricewaterhouseCoopers LLP,1353283,SPLK
2016,31-Dec-16,1487090,1551610,Ernst & Young LLP,1364954,CHGG
2016,31-Dec-16,33000000,50000000,Deloitte & Touche LLP,1467858,GM
