gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,costat,mkvalt
1906,20161231,2016,INDL,C,D,STD,AVHI,USD,,840.233,A,355.7054
1906,20171231,2017,INDL,C,D,STD,AVHI,USD,,1010.144,A,372.3606
2285,20161231,2016,INDL,C,D,STD,BA,USD,62488,89997,A,96078.2234
2285,20171231,2017,INDL,C,D,STD,BA,USD,65161,92333,A,174303.3115
2574,20161231,2016,INDL,C,D,STD,CSX,USD,2487,35414,A,33349.5074
2574,20171231,2017,INDL,C,D,STD,CSX,USD,1915,35739,A,48950.7035
2696,20161231,2016,INDL,C,D,STD,CNI,CAD,2107,37057,A,68854.32
2696,20171231,2017,INDL,C,D,STD,CNI,CAD,2190,37629,A,76970.49
2817,20161231,2016,INDL,C,D,STD,CAT,USD,31967,74704,A,54390.7116
2817,20171231,2017,INDL,C,D,STD,CAT,USD,36244,76962,A,94173.9051
2968,20161231,2016,FS,C,D,STD,JPM,USD,,2490972,A,307295.0851
2968,20161231,2016,INDL,C,D,STD,JPM,USD,,2490972,A,307295.0851
2968,20171231,2017,FS,C,D,STD,JPM,USD,,2533600,A,366301.582
2968,20171231,2017,INDL,C,D,STD,JPM,USD,,2533600,A,366301.582
3007,20160630,2016,INDL,C,D,STD,EAT,USD,176.774,1472.716,A,2523.3181
3007,20170630,2017,INDL,C,D,STD,EAT,USD,154.392,1413.7,A,1845.6021
3835,20161031,2016,INDL,C,D,STD,DE,USD,,57981.4,A,27794.0144
3835,20171031,2017,INDL,C,D,STD,DE,USD,,65786.3,A,42766.2321
4241,20161231,2016,INDL,C,D,STD,EE,USD,164.199,3376.278,A,1877.7165
4241,20171231,2017,INDL,C,D,STD,EE,USD,156.792,3484.363,A,2238.9629
4839,20161231,2016,INDL,C,D,STD,F,USD,108461,237951,A,48208.2226
4839,20171231,2017,INDL,C,D,STD,F,USD,115902,257808,A,49627.1665
4941,20161231,2016,INDL,C,D,STD,GATX,USD,,7105.4,A,2428.8999
4941,20171231,2017,INDL,C,D,STD,GATX,USD,,7422.4,A,2355.6154
5073,20161231,2016,INDL,C,D,STD,GM,USD,76203,221690,A,52260
5073,20171231,2017,INDL,C,D,STD,GM,USD,68744,212482,A,57386
6223,20161231,2016,INDL,C,D,STD,EME,USD,2210.847,3894.17,A,4241.8497
6223,20171231,2017,INDL,C,D,STD,EME,USD,2284.509,3965.904,A,4806.7365
6335,20161231,2016,INDL,C,D,STD,KSU,USD,648,8817.5,A,9045.604
6335,20171231,2017,INDL,C,D,STD,KSU,USD,680.1,9198.7,A,10841.5531
7647,20161231,2016,FS,C,D,STD,BAC,USD,,2187702,A,222163.0346
7647,20161231,2016,INDL,C,D,STD,BAC,USD,,2187702,A,222163.0346
7647,20171231,2017,FS,C,D,STD,BAC,USD,,2281234,A,303681.155
7647,20171231,2017,INDL,C,D,STD,BAC,USD,,2281234,A,303681.155
8007,20161231,2016,FS,C,D,STD,WFC,USD,,1930115,A,276437.767
8007,20161231,2016,INDL,C,D,STD,WFC,USD,,1930115,A,276437.767
8007,20171231,2017,FS,C,D,STD,WFC,USD,,1951757,A,296774.4034
8007,20171231,2017,INDL,C,D,STD,WFC,USD,,1951757,A,296774.4034
8402,20160531,2015,INDL,C,D,STD,PAYX,USD,4863.6,6440.8,A,19540.888
8402,20170531,2016,INDL,C,D,STD,PAYX,USD,5272,6833.7,A,21287.262
8402,20180531,2017,INDL,C,D,STD,PAYX,USD,5784.4,7463.7,A,23543.22
10867,20161231,2016,INDL,C,D,STD,UNP,USD,3596,55718,A,84584.6323
10867,20171231,2017,INDL,C,D,STD,UNP,USD,4006,57806,A,104721.1038
11636,20161231,2016,INDL,C,D,STD,XRX,USD,6992,18145,A,8855.4938
11636,20171231,2017,INDL,C,D,STD,XRX,USD,5230,15946,A,7421.969
15044,20160131,2015,INDL,C,D,STD,WDAY,USD,2362.308,2730.094,A,12286.95
15044,20170131,2016,INDL,C,D,STD,WDAY,USD,2496.526,3166.424,A,16867.27
15044,20180131,2017,INDL,C,D,STD,WDAY,USD,3956.978,4947.424,A,25416.68
17695,20161231,2016,INDL,C,D,STD,DATA,USD,1151.624,1287.199,A,3233.6637
17695,20171231,2017,INDL,C,D,STD,DATA,USD,1089.218,1398.795,A,5567.9704
18556,20161231,2016,INDL,C,D,STD,CHGG,USD,111.373,290.652,A,676.8124
18556,20171231,2017,INDL,C,D,STD,CHGG,USD,228.942,446.93,A,1789.7818
19661,20160331,2015,INDL,C,D,STD,TM,USD,161978,421879,A,
19661,20170331,2016,INDL,C,D,STD,TM,USD,160073,437575,A,
19661,20180331,2017,INDL,C,D,STD,TM,USD,170929,473712,A,
24856,20161231,2016,INDL,C,D,STD,GILD,USD,20445,56977,A,93809.1
24856,20171231,2017,INDL,C,D,STD,GILD,USD,31823,70283,A,93705.12
25180,20161231,2016,INDL,C,D,STD,AGCO,USD,3165.7,7168.4,A,4597.8449
25180,20171231,2017,INDL,C,D,STD,AGCO,USD,3627.7,7971.7,A,5682.5422
29155,20161231,2016,INDL,C,D,STD,CARS,USD,119.541,2547.266,A,
29155,20171231,2017,INDL,C,D,STD,CARS,USD,142.639,2511.039,A,2065.7515
30463,20160831,2016,INDL,C,D,STD,GBX,USD,,1837.89,A,955.8675
30463,20170831,2017,INDL,C,D,STD,GBX,USD,,2397.705,A,1222.7787
63643,20160131,2015,INDL,C,D,STD,ANF,USD,1178.98,2433.039,A,1767.2115
63643,20170131,2016,INDL,C,D,STD,ANF,USD,1139.3,2295.757,A,786.6704
63643,20180131,2017,INDL,C,D,STD,ANF,USD,1264.538,2325.692,A,1412.3185
122519,20160630,2016,INDL,C,D,STD,FLWS,USD,166.659,506.514,A,588.4648
122519,20170630,2017,INDL,C,D,STD,FLWS,USD,257.402,552.47,A,635.115
122519,20180630,2018,INDL,C,D,STD,FLWS,USD,273.021,570.889,A,809.6005
170616,20160131,2015,INDL,C,D,STD,SPLK,USD,1217.269,1536.839,A,6089.1255
170616,20170131,2016,INDL,C,D,STD,SPLK,USD,1360.373,1718.546,A,7936.5983
170616,20180131,2017,INDL,C,D,STD,SPLK,USD,1626.97,2044.46,A,13193.669
171067,20160731,2016,INDL,C,D,STD,PANW,USD,1719.1,2761.2,A,11845.545
171067,20170731,2017,INDL,C,D,STD,PANW,USD,1976.3,3438.3,A,12057.87
184996,20161231,2016,INDL,C,D,STD,TSLA,USD,6259.796,22664.076,A,34523.9701
184996,20171231,2017,INDL,C,D,STD,TSLA,USD,6570.52,28655.372,A,52554.946
